last_name,first_name,link
Airani,Iofifteen,https://static.wikia.nocookie.net/virtualyoutuber/images/c/cb/Airani_Iofifteen_-_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20200427135833
Akai,Haato,https://static.wikia.nocookie.net/virtualyoutuber/images/7/77/Akai_Haato_Portrait.png/revision/latest?cb=20190215174535
Aki,Rosenthal,https://static.wikia.nocookie.net/virtualyoutuber/images/5/59/Aki_Rosenthal_Portrait.png/revision/latest?cb=20190215173936
Amane,Kanata,https://static.wikia.nocookie.net/virtualyoutuber/images/6/6c/Amane_Kanata_-_Portrait.png/revision/latest?cb=20200121010144
Anya,Melfissa,https://static.wikia.nocookie.net/virtualyoutuber/images/f/ff/Anya_Melfissa_Portrait.jpg/revision/latest?cb=20201201054912
Aragami,Oga,https://static.wikia.nocookie.net/virtualyoutuber/images/1/1c/Aragami_Oga_-_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20210729035244
Aruran,,https://static.wikia.nocookie.net/virtualyoutuber/images/b/b4/Arurandeisu_-_Portrait.png/revision/latest?cb=20200622085428
Astel,Leda,https://static.wikia.nocookie.net/virtualyoutuber/images/e/e4/Astel_Leda_-_Portrait_Conductor.png/revision/latest?cb=20220626082314
Axel,Syrios,https://static.wikia.nocookie.net/virtualyoutuber/images/5/5b/Axel_Syrios_-_Portrait.png/revision/latest?cb=20220726172756
Ayunda,Risu,https://static.wikia.nocookie.net/virtualyoutuber/images/d/de/Ayunda_Risu_-_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20200427142410
AZKi,,https://static.wikia.nocookie.net/virtualyoutuber/images/8/8f/AZKi_2021_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20210802052313
Ceres,Fauna,https://static.wikia.nocookie.net/virtualyoutuber/images/7/73/Ceres_Fauna_Portrait.png/revision/latest?cb=20210902015951
Gawr,Gura,https://static.wikia.nocookie.net/virtualyoutuber/images/4/4f/Gawr_Gura_Portrait.png/revision/latest?cb=20200910192716
Hakos,Baelz,https://static.wikia.nocookie.net/virtualyoutuber/images/a/a3/Hakos_Baelz_Portrait.png/revision/latest?cb=20210817022252
Hakui,Koyori,https://static.wikia.nocookie.net/virtualyoutuber/images/c/c2/Hakui_Koyori_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20211202201357
Hanasaki,Miyabi,https://static.wikia.nocookie.net/virtualyoutuber/images/2/2c/Hanasaki_Miyabi_-_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20200622084724
Himemori,Luna,https://static.wikia.nocookie.net/virtualyoutuber/images/2/22/Himemori_Luna_-_Portrait.png/revision/latest?cb=20200126200041
Hitomi,Chris,https://static.wikia.nocookie.net/virtualyoutuber/images/1/1a/Hitomi_Chris_-_Icon.png/revision/latest?cb=20210901132206
Hizaki,Gamma,https://static.wikia.nocookie.net/virtualyoutuber/images/5/5d/Hizaki_Gamma_-_Portrait.png/revision/latest?cb=20220324163522
Hoshimachi,Suisei,https://static.wikia.nocookie.net/virtualyoutuber/images/8/8b/Hoshimachi_Suisei_2019_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20191205132210
Houshou,Marine,https://static.wikia.nocookie.net/virtualyoutuber/images/4/4e/Houshou_Marine_-_Portrait.png/revision/latest?cb=20190821035347
Inugami,Korone,https://static.wikia.nocookie.net/virtualyoutuber/images/c/c6/Inugami_Korone_Portrait.png/revision/latest?cb=20190405185913
IRyS,,https://static.wikia.nocookie.net/virtualyoutuber/images/7/77/IRyS_Portrait.png/revision/latest?cb=20210707011605
Kaela,Kovalskia,https://static.wikia.nocookie.net/virtualyoutuber/images/6/61/Kaela_Kovalskia_Portrait.png/revision/latest?cb=20220324054230
Kageyama,Shien,https://static.wikia.nocookie.net/virtualyoutuber/images/f/fe/Kageyama_Shien_-_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20210729030716
Kanade,Izuru,https://static.wikia.nocookie.net/virtualyoutuber/images/9/93/Kanade_Izuru_-_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20200622090510
Kazama,Iroha,https://static.wikia.nocookie.net/virtualyoutuber/images/9/96/Kazama_Iroha_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20211202200910
Kiryu,Coco,https://static.wikia.nocookie.net/virtualyoutuber/images/0/09/Kiryu_Coco_-_Portrait.png/revision/latest?cb=20191228224253
Kishido,Temma,https://static.wikia.nocookie.net/virtualyoutuber/images/7/7b/Kishido_Temma_-_Portrait.jpg/revision/latest?cb=20200721115842
Kobo,Kanaeru,https://static.wikia.nocookie.net/virtualyoutuber/images/3/3b/Kobo_Kanaeru_Portrait.png/revision/latest?cb=20220324054528
Kureiji,Ollie,https://static.wikia.nocookie.net/virtualyoutuber/images/f/f4/Kureiji_Ollie_Portrait.png/revision/latest?cb=20201201052431
La+,Darknesss,https://static.wikia.nocookie.net/virtualyoutuber/images/7/7b/La%2B_Darknesss_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20211202201644
Magni,Dezmond,https://static.wikia.nocookie.net/virtualyoutuber/images/b/b6/Magni_Dezmond_-_Portrait.png/revision/latest?cb=20220718151528
Mano,Aloe,https://static.wikia.nocookie.net/virtualyoutuber/images/f/fb/Mano_Aloe_Portrait.png/revision/latest?cb=20200807015058
Minase,Rio,https://static.wikia.nocookie.net/virtualyoutuber/images/1/19/Minase_Rio_-_Portrait.png/revision/latest?cb=20220324164807
Minato,Aqua,https://static.wikia.nocookie.net/virtualyoutuber/images/8/8b/Minato_Aqua_Portrait.png/revision/latest?cb=20190215180705
Momosuzu,Nene,https://static.wikia.nocookie.net/virtualyoutuber/images/b/bf/Momosuzu_Nene_2021_Portrait.png/revision/latest?cb=20210201010039
Moona,Hoshinova,https://static.wikia.nocookie.net/virtualyoutuber/images/9/94/Moona_Hoshinova_Portrait.jpg/revision/latest?cb=20200411161426
Mori,Calliope,https://static.wikia.nocookie.net/virtualyoutuber/images/3/39/Mori_Calliope_Portrait.png/revision/latest?cb=20200910193007
Murasaki,Shion,https://static.wikia.nocookie.net/virtualyoutuber/images/3/3f/Murasaki_Shion_Portrait.png/revision/latest?cb=20190702115949
Nakiri,Ayame,https://static.wikia.nocookie.net/virtualyoutuber/images/0/09/Nakiri_Ayame_Portrait.png/revision/latest?cb=20190215184953
Nanashi,Mumei,https://static.wikia.nocookie.net/virtualyoutuber/images/8/86/Nanashi_Mumei_Portrait.png/revision/latest?cb=20210817024548
Natsuiro,Matsuri,https://static.wikia.nocookie.net/virtualyoutuber/images/c/c3/Natsuiro_Matsuri_-_Portrait_Transparent.png/revision/latest?cb=20220730002625
Nekomata,Okayu,https://static.wikia.nocookie.net/virtualyoutuber/images/3/35/Nekomata_Okayu_img.png/revision/latest?cb=20190405185910
Ninomae,Ina'nis,https://static.wikia.nocookie.net/virtualyoutuber/images/4/46/Ninomae_Ina%27nis_Portrait.png/revision/latest?cb=20200910192748
Noir,Vesper,https://static.wikia.nocookie.net/virtualyoutuber/images/4/4b/Noir_Vesper_-_Portrait.png/revision/latest?cb=20220718151542
Omaru,Polka,https://static.wikia.nocookie.net/virtualyoutuber/images/3/33/Omaru_Polka_Portrait.png/revision/latest?cb=20200807015145
Ookami,Mio,https://static.wikia.nocookie.net/virtualyoutuber/images/1/18/Ookami_Mio_Portrait.png/revision/latest?cb=20190215191005
Oozora,Subaru,https://static.wikia.nocookie.net/virtualyoutuber/images/4/49/Oozora_Subaru_Portrait.png/revision/latest?cb=20190221182438
Ouro,Kronii,https://static.wikia.nocookie.net/virtualyoutuber/images/b/b2/Ouro_Kronii_Portrait.png/revision/latest?cb=20210817022852
Pavolia,Reine,https://static.wikia.nocookie.net/virtualyoutuber/images/d/d2/Pavolia_Reine_Portrait.png/revision/latest?cb=20201201063050
Regis,Altare,https://static.wikia.nocookie.net/virtualyoutuber/images/c/ca/Regis_Altare_-_Portrait.png/revision/latest?cb=20220727105221
